Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2016,"Michael Brantley","CLE",6,8,7,2,0,2,0,0,0,3,0,0,2,0,1,0,1,0,0,0.28571429,4106
2016,"Hernan Iribarren","CIN",4,5,5,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.4,4177
2016,"Stephen Drew","WSN",12,17,16,3,2,1,0,0,0,0,1,0,1,0,0,0,2,0,0,0.1875,4251
2016,"Joey Votto","CIN",99,182,159,50,36,9,0,5,5,22,20,2,41,2,1,0,9,0,0,0.31446541,4314
2016,"Daniel Murphy","WSN",90,173,155,51,31,12,2,6,6,30,9,3,18,5,4,0,2,0,0,0.32903226,4316
2016,"Jonathon Niese","PIT",5,10,9,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,4424
2016,"Brandon Moss","STL",56,121,112,26,17,5,1,3,3,15,5,0,38,4,0,0,2,0,0,0.23214286,4467
2016,"James Loney","NYM",37,56,52,9,6,2,0,1,1,5,2,0,10,1,0,1,3,0,0,0.17307692,4556
2016,"Prince Fielder","TEX",48,105,94,17,12,3,0,2,2,14,8,0,24,1,2,0,4,0,0,0.18085106,4613
2016,"James Beresford","MIN",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4626
2016,"Ben Revere","WSN",38,65,59,12,10,0,1,1,1,5,3,0,7,2,1,0,4,0,0,0.20338983,4712
2016,"Jacoby Ellsbury","NYY",87,196,178,44,34,7,2,1,1,14,11,0,32,1,2,3,5,0,0,0.24719101,4727
2016,"Curtis Granderson","NYM",87,161,146,33,20,4,2,7,7,15,12,0,40,3,0,0,3,0,0,0.2260274,4747
2016,"Rich Hill","LAD",1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4806
2016,"Brian McCann","NYY",62,101,87,19,14,2,0,3,3,9,12,0,23,1,1,0,2,0,0,0.2183908,4810
2016,"Jarrod Dyson","KCR",29,35,29,11,7,3,1,0,0,2,2,0,3,2,0,2,0,0,0,0.37931034,4866
2016,"Mike Montgomery","CHC",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4869
2016,"Mike Moustakas","KCR",12,22,21,6,3,2,0,1,1,2,1,0,2,0,0,0,0,0,0,0.28571429,4892
2016,"Scott Kazmir","LAD",5,9,7,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,4897
2016,"Ender Inciarte","ATL",70,150,138,44,36,7,1,0,0,3,9,0,14,1,0,2,1,0,0,0.31884058,4922
2016,"Jon Lester","CHC",9,18,13,2,1,1,0,0,0,1,2,0,6,0,0,3,1,0,0,0.15384615,4930
2016,"Jason Heyward","CHC",75,161,140,29,23,3,1,2,2,18,18,0,30,1,1,1,2,0,0,0.20714286,4940
2016,"Luis Valbuena","HOU",48,88,75,20,14,4,0,2,2,9,8,0,19,1,1,3,1,0,0,0.26666667,4969
2016,"Cole Hamels","TEX",1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4972
2016,"Stephen Vogt","OAK",59,98,92,18,11,5,1,1,1,13,3,0,21,3,0,0,1,0,0,0.19565217,5000
2016,"Yohan Flande","COL",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5057
2016,"Anthony Gose","DET",16,29,25,3,3,0,0,0,0,0,4,0,8,0,0,0,1,0,0,0.12,5097
2016,"Alex Gordon","KCR",81,159,140,30,20,5,0,5,5,8,16,0,48,3,0,0,5,0,0,0.21428571,5209
2016,"Jon Jay","SDP",54,120,107,33,26,7,0,0,0,10,9,0,24,3,0,1,1,0,0,0.30841121,5227
2016,"Alex Presley","2 Tms",17,31,27,6,5,1,0,0,0,0,4,0,6,0,0,0,0,0,0,0.22222222,5305
2016,"Brandon Crawford","SFG",94,196,181,50,39,6,2,3,3,20,14,1,41,1,0,0,2,0,0,0.27624309,5343
2016,"Freddie Freeman","ATL",103,226,193,58,34,14,3,7,7,24,21,1,64,9,3,0,4,0,0,0.30051813,5361
2016,"Ji-Man Choi","LAA",4,4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5452
2016,"John Jaso","PIT",21,25,20,1,1,0,0,0,0,0,4,0,7,0,0,1,1,0,0,0.05,5887
2016,"Nick Markakis","ATL",94,201,181,44,34,9,0,1,1,21,14,0,27,3,3,0,6,0,0,0.24309392,5930
2016,"Didi Gregorius","NYY",81,161,148,48,34,10,0,4,4,24,4,0,12,5,1,3,3,0,0,0.32432432,6012
2016,"Andre Ethier","LAD",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6265
2016,"Michael Bourn","2 Tms",40,75,70,25,22,0,2,1,1,9,4,0,19,0,1,0,1,0,0,0.35714286,6387
2016,"Kirk Nieuwenhuis","MIL",33,43,37,5,2,2,0,1,1,7,6,0,17,0,0,0,0,0,0,0.13513514,6400
2016,"JB Shuck","CHW",22,35,31,10,8,1,1,0,0,2,2,0,2,1,0,1,0,0,0,0.32258065,6677
2016,"Nick Buss","LAA",11,15,15,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,6835
2016,"Chris Coghlan","2 Tms",24,30,25,3,2,1,0,0,0,1,5,0,6,0,0,0,2,0,0,0.12,6878
2016,"Nick Noonan","SDP",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6880
2016,"Clint Robinson","WSN",27,34,30,9,9,0,0,0,0,4,2,0,5,1,1,0,1,0,0,0.3,6908
2016,"Ryan Kalish","CHC",3,3,1,1,1,0,0,0,0,2,0,0,0,1,0,1,0,0,0,1,6962
2016,"Juan Centeno","MIN",27,47,44,11,9,2,0,0,0,3,0,0,10,1,0,2,4,0,0,0.25,7168
2016,"David Lough","PHI",3,4,4,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.25,7215
2016,"Carlos Gonzalez","COL",90,182,176,48,30,7,1,10,10,40,4,0,48,1,1,0,2,0,0,0.27272727,7287
2016,"Seth Smith","SEA",29,33,30,5,3,2,0,0,0,5,2,0,6,1,0,0,2,0,0,0.16666667,7331
