WK,date,DoW,SEA,SF,OAK,LAD,LAA,SD,ARI,COL,TEX,HOU,KC,STL,MIN,MIL,CHC,CHW,DET,CIN,CLE,PIT,TOR,BOS,NYY,NYM,PHI,BAL,WSH,ATL,TB,MIA,Games
23,8/24/2020,Mon,TB,SD,,,,,,,COL,,TOR,,,,,,HOU,STL,,,,,,,PIT,,,,,,7
23,8/25/2020,Tue,TB,SD,,LAA,,,,,COL,,TOR,,,MIN,,BOS,HOU,STL,ARI,,,,BAL,,PIT,,NYM,OAK,,CHC,15
23,8/26/2020,Wed,TB,SD,,LAA,,,,,,,TOR,,,MIN,,BOS,HOU,STL,ARI,,,,BAL,,PIT,,NYM,OAK,,CHC,14
23,8/27/2020,Thu,,,,SD,,,,,BAL,,,,,,,BOS,HOU,MIL,ARI,,OAK,,,,,,NYM,COL,,CHC,10
23,8/28/2020,Fri,LAA,KC,,SD,,,,,BAL,,,PIT,,,,HOU,BOS,MIL,NYY,,OAK,,,CHC,,,PHI,COL,MIN,ARI,15
23,8/29/2020,Sat,LAA,KC,,SD,,,,,BAL,,,PIT,,,,HOU,BOS,MIL,NYY,,OAK,,,CHC,,,PHI,COL,MIN,ARI,15
23,8/30/2020,Sun,LAA,KC,,SD,,,,,BAL,,,PIT,,,,HOU,BOS,MIL,NYY,,OAK,,,CHC,,,PHI,COL,MIN,ARI,15
24,8/31/2020,Mon,,,KC,,TEX,,,,,,,PHI,CLE,,SF,,,BAL,,MIL,,NYY,,COL,,,,,CHW,ARI,11
24,9/1/2020,Tue,,,KC,,TEX,SEA,LAD,,,MIA,,PHI,CLE,,SF,,,BAL,,MIL,DET,NYY,,COL,,,ATL,,CHW,,15
24,9/2/2020,Wed,,,KC,,TEX,SEA,LAD,,,MIA,,PHI,CLE,,SF,,,BAL,,MIL,DET,NYY,,COL,,,ATL,,CHW,,15
24,9/3/2020,Thu,,,,,TEX,SF,,,,MIA,,PHI,CLE,,,,,,,MIL,DET,,,COL,,,ATL,,CHW,,10
24,9/4/2020,Fri,,,TEX,,KC,SF,STL,CLE,,SEA,,,CHW,LAD,CIN,,,,,ATL,TB,DET,,WSH,MIA,NYY,,,,,15
